0	1	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	1.9	2	2.1	2.2	2.3	2.4	2.5	2.6	2.7	2.8	2.9	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20
1	1960.05914857478	2093.55658052191	2361.00020607462	2571.29886835393	2732.95532189481	2856.23966786157	2948.44130690218	3015.34912620009	3062.59243558787	3095.34724592776	3117.75381907066	3132.81890161862	3142.63214777632	3148.63114100723	3151.8121515527	3152.87594513847	3152.32419814202	3150.52252947639	3147.74193595109	3144.18644277368	3140.01184795463	3113.27592401572	3081.57119914508	3047.92755102513	3013.53066024653	2978.86849480555	2944.13147520506	2909.37302107911	2874.58071777604	2839.71064131594	2804.70487620804	2769.50130507511	2734.03958255408	2698.26531648698	2662.13326438715	2625.6105027069	2588.67908033189	2551.33871697315	2513.60885507269	2475.53054284168	2437.16671095518	2398.60161111376	2359.93823753202	2321.29468466972	2282.79877826526	2244.58212343377	2206.77397043185	2169.49563639729	2132.85600645814	2096.94844826795	2061.84920748275	2027.61710532854	1994.29435001873	1961.90801645107	1930.4719704188
1.01325	1960.09595702262	2093.63255349998	2361.26819819824	2571.83971207094	2733.7686787197	2857.29252332383	2949.69455311344	3016.76215715905	3064.12601619674	3096.96775028673	3119.43515921341	3134.54191279177	3144.383032407	3150.39997179913	3153.59172326029	3154.66096115469	3154.11071072389	3152.30755629068	3149.52319515527	3145.96216804096	3141.78065751569	3114.99754360569	3083.235371764	3049.53032970576	3015.07033566709	2980.34419340594	2945.54261354798	2910.71908042388	2875.86115470486	2840.92486350981	2805.85225295582	2770.5812006555	2735.0514067546	2699.20858992423	2663.00769562434	2626.41607718992	2589.41615857678	2552.00811461943	2514.21194795994	2476.06931920441	2437.64380678354	2399.0203013319	2360.30237726213	2321.60860545295	2283.06714537691	2244.80976717937	2206.96572156278	2169.65616807998	2132.98970927134	2097.05934082217	2061.94088473148	2027.69272026385	1994.3566223958	1961.95925994248	1930.51413108934
2	1961.87043660355	2097.02548086951	2373.65697851487	2597.80410093308	2773.92770253323	2910.28996733487	3013.64696629384	3089.5912881002	3143.73965416608	3181.51885049148	3207.46360970362	3224.96401841977	3236.41483394246	3243.47659721076	3247.30316955951	3248.70611676359	3248.26544664579	3246.40276683002	3243.42964564508	3239.57991638971	3235.0315821517	3205.70142861967	3170.81114691055	3133.75216487682	3095.83874120566	3057.60753901395	3019.2666603332	2980.87446224757	2942.41858952575	2903.85386153548	2865.12204127237	2826.16284320449	2786.92092662366	2747.35090040943	2707.42110897718	2667.11732949372	2626.44546512916	2585.43390246733	2544.13463984396	2502.6235769314	2460.9987361835	2419.37687209253	2377.88873065805	2336.67260997863	2295.86796532053	2255.60871303732	2216.0176806449	2177.20239633107	2139.25249305441	2102.23868466572	2066.21307446906	2031.2104527607	1997.25022171595	1964.3386275974	1932.47105191606
3	1962.89164937511	2098.62314160746	2379.77225828149	2611.41860915801	2795.99289774347	2940.37876326173	3050.81409728338	3132.65112916394	3191.40338888947	3232.5865941058	3260.9545070403	3280.13639933356	3292.72739455305	3300.53789038635	3304.82900033202	3306.48801011186	3306.14849403035	3304.27030936443	3301.19268495914	3297.16972455381	3292.39447995938	3261.44031137471	3224.52569952878	3185.28471162838	3145.11833279738	3104.59683888836	3063.941407821	3023.21513888019	2982.40732105738	2941.47376051507	2900.3580772574	2859.00355124213	2817.36078354718	2775.39313468012	2733.0810290474	2690.42525910163	2647.44991032464	2604.20384470681	2560.7608490818	2517.21852186922	2473.69483552618	2430.32324400239	2387.24624049584	2344.608552941	2302.54992955605	2261.19935500745	2220.67019964674	2181.05729842671	2142.4356640121	2104.86065400203	2068.36923685187	2032.98197030374	1998.70534364276	1965.53420891341	1933.45410948698
4	1963.65462195057	2099.60408501597	2383.58939371372	2620.2342453456	2810.72458744076	2960.92248054317	3076.60941628141	3162.90449860421	3225.19647461713	3269.0282074326	3299.29678073972	3319.80534169753	3333.30088486368	3341.70973675947	3346.37675431388	3348.24854232219	3348.00071570544	3346.1231402456	3342.97671679824	3338.83140223667	3333.89201007526	3301.73604615278	3263.30745740638	3222.42862626017	3180.56809262207	3138.32275154449	3095.9246032603	3053.44120099927	3010.86392857999	2968.15046483587	2925.24687904316	2882.10042989154	2838.66763178025	2794.91998026164	2750.84840305095	2706.46644667229	2661.81287039901	2616.95242438002	2571.97502845697	2526.99351185139	2482.13889706821	2437.5544018727	2393.38836364754	2349.7868395496	2306.88685584417	2264.81111614297	2223.66403657423	2183.52981147922	2144.47205066676	2106.53471317479	2069.74393623125	2034.11037357601	1999.63172375268	1966.29521516377	1934.07989837234
5	1964.29464221475	2100.29430303829	2386.27425308756	2626.59737652717	2821.6020081038	2976.35397073441	3096.2345654266	3186.145264554	3251.34562400423	3297.37484549198	3329.23097620695	3350.8529010849	3365.11078653046	3374.02662034529	3379.01491656526	3381.07186391125	3380.90819403904	3379.0388716226	3375.8429007062	3371.60348036852	3366.53521893108	3333.41807016941	3293.76840759028	3251.56488983295	3208.33232360298	3164.6900301068	3120.87942395872	3076.97225575037	3032.96223976685	2988.80916157721	2944.4618804603	2899.87169908525	2855.00080645968	2809.82819854676	2764.35416849809	2718.60329606937	2672.62665428246	2626.5018946029	2580.33156917985	2534.23984340435	2488.36686642959	2442.86198733245	2397.87625635241	2353.55498384184	2310.03133215623	2267.42165433222	2225.82232978091	2185.30854457693	2145.93465472064	2107.73564063873	2070.72929874369	2034.91878912156	2000.29525065033	1966.8402850765	1934.52819235944
6	1964.86478786748	2100.82159583493	2388.30012691912	2631.49431072975	2830.12532083363	2988.61574535468	3111.99387345353	3204.95946839681	3272.64439006028	3320.56667796161	3353.79834214725	3376.38884876753	3391.3122611076	3400.67255332364	3405.94439587296	3408.16691631504	3408.0813744862	3406.22446679859	3402.99091342416	3398.67537964584	3393.50097036966	3359.57932077063	3318.90043545618	3275.57781407947	3231.18494666069	3186.36074915344	3141.35506840717	3096.24363272366	3051.02256727706	3005.65391869763	2960.08941933425	2914.28442381907	2868.20647735331	2821.84153866142	2775.19835787248	2728.31124214386	2681.24190794363	2634.07863180625	2586.93433970281	2539.94193312202	2493.24818325208	2447.00635747998	2401.36849797449	2356.47808897795	2312.46404855213	2269.43669125359	2227.48515948765	2186.6769089885	2147.05855331768	2108.65771393919	2071.48545868645	2035.53897725385	2000.80423336576	1967.25842411445	1934.87215336982
7	1965.39036510654	2101.24796605348	2389.90155621428	2635.42685594215	2837.07274288528	2998.72896028764	3125.10948525712	3220.72716640676	3290.58987929153	3340.18382602776	3374.63639813955	3398.08968264832	3413.60771072408	3423.36647480396	3428.89389625076	3431.26723227876	3431.25484559761	3429.41280172023	3426.14976649464	3421.77059521356	3416.50592294677	3381.89044731842	3340.3185042298	3296.0229928716	3250.62055525603	3204.76764884681	3158.72181819526	3112.56258108354	3066.28849731895	3019.86394600319	2973.24357198003	2926.38662944411	2879.26585874312	2831.87363145186	2784.22643027514	2736.36725880755	2688.36709820767	2640.32343545582	2592.35764990814	2544.60962775278	2497.23105898118	2450.37767468669	2404.20148510748	2358.84351490146	2314.42853011472	2271.06099636102	2228.82362766188	2187.77711653839	2147.96144762785	2109.39803804395	2072.09235019907	2036.03664659305	2001.21265174982	1967.59397590496	1935.14822701812
8	1965.88522719683	2101.6074031353	2391.21016356227	2638.68253356046	2842.89760375059	3007.29506793415	3136.30671792435	3234.27176311817	3306.07860111817	3357.17488812683	3392.72978582386	3416.96457516066	3433.02259715281	3443.14431941681	3448.90559293363	3451.41810010205	3451.47471890348	3449.64904628865	3446.36234763694	3441.92868895793	3436.58551367027	3401.35878945426	3358.99586211371	3313.83718508846	3267.53844584393	3220.77199953738	3173.80252936917	3126.71317776626	3079.5049346553	3032.14453896224	2984.58953475896	2936.8029844821	2888.76253353202	2840.46659339283	2791.93874756675	2743.2298569096	2694.41911411968	2645.61199006049	2596.93698426524	2548.53963188987	2500.57532227168	2453.20128949991	2406.56876620791	2360.81619467178	2316.0639843126	2272.41132176462	2229.93505791588	2188.689896793	2148.71004354	2110.0115771207	2072.59517617569	2036.44893153654	2001.55099967917	1967.8719859036	1935.37699749195
